iter	Passed	Remaining
0	1	3852
1	3	3430
2	4	3263
3	6	3187
4	7	3164
5	9	3119
6	10	3067
7	11	2998
8	13	2971
9	14	2979
10	16	2964
11	17	2955
12	18	2944
13	20	2943
14	21	2927
15	23	2924
16	24	2899
17	25	2877
18	26	2861
19	28	2847
20	29	2830
21	30	2813
22	31	2799
23	33	2787
24	34	2773
25	35	2767
26	36	2756
27	38	2749
28	39	2740
29	40	2728
30	41	2726
31	43	2716
32	44	2707
33	45	2698
34	46	2690
35	48	2688
36	49	2682
37	50	2676
38	52	2680
39	53	2674
40	54	2667
41	55	2666
42	57	2668
43	58	2663
44	59	2659
45	60	2654
46	62	2650
47	63	2646
48	64	2642
49	66	2638
50	67	2638
51	68	2635
52	69	2629
53	71	2626
54	72	2622
55	73	2619
56	74	2619
57	76	2615
58	77	2613
59	78	2607
60	79	2605
61	81	2602
62	82	2598
63	83	2601
64	85	2599
65	86	2599
66	87	2598
67	89	2600
68	90	2597
69	91	2595
70	93	2594
71	94	2592
72	95	2592
73	97	2590
74	98	2589
75	99	2589
76	101	2591
77	102	2593
78	104	2595
79	105	2594
80	107	2598
81	108	2596
82	109	2594
83	110	2590
84	112	2587
85	113	2588
86	114	2587
87	116	2590
88	117	2589
89	119	2589
90	120	2587
91	121	2586
92	123	2588
93	124	2587
94	125	2585
95	127	2584
96	128	2582
97	129	2582
98	131	2580
99	132	2580
100	133	2579
101	135	2578
102	136	2577
103	137	2578
104	139	2578
105	140	2577
106	142	2577
107	143	2575
108	144	2575
109	146	2574
110	147	2572
111	148	2572
112	150	2571
113	151	2569
114	152	2568
115	154	2569
116	155	2570
117	157	2569
118	158	2570
119	159	2568
120	161	2568
121	162	2567
122	164	2570
123	165	2572
124	167	2574
125	168	2576
126	170	2576
127	171	2577
128	173	2578
129	174	2581
130	176	2581
131	177	2580
132	179	2581
133	181	2586
134	182	2588
135	184	2588
136	185	2589
137	187	2588
138	188	2587
139	189	2589
140	191	2588
141	192	2586
142	194	2587
143	195	2586
144	196	2585
145	199	2594
146	200	2594
147	201	2592
148	203	2591
149	204	2590
150	206	2588
151	207	2586
152	208	2584
153	210	2584
154	211	2582
155	213	2583
156	215	2594
157	216	2593
158	218	2591
159	219	2590
160	220	2588
161	222	2585
162	223	2583
163	224	2582
164	226	2580
165	227	2578
166	228	2577
167	230	2576
168	231	2574
169	232	2572
170	234	2570
171	235	2569
172	236	2566
173	238	2564
174	239	2562
175	240	2560
176	242	2561
177	243	2560
178	245	2559
179	246	2558
180	247	2556
181	249	2554
182	250	2552
183	251	2550
184	253	2549
185	254	2547
186	255	2545
187	257	2544
188	258	2541
189	259	2539
190	261	2537
191	262	2536
192	263	2534
193	265	2532
194	266	2530
195	267	2528
196	268	2526
197	270	2524
198	271	2522
199	272	2521
200	274	2520
201	276	2523
202	277	2522
203	278	2521
204	280	2521
205	281	2519
206	283	2518
207	284	2516
208	285	2515
209	287	2513
210	288	2511
211	289	2510
212	291	2508
213	292	2507
214	293	2505
215	295	2504
216	296	2502
217	297	2500
218	299	2497
219	300	2496
220	301	2495
221	303	2493
222	304	2492
223	305	2490
224	307	2489
225	308	2488
226	310	2487
227	311	2486
228	312	2484
229	314	2482
230	315	2481
231	316	2479
232	318	2478
233	319	2476
234	320	2474
235	322	2473
236	323	2471
237	324	2470
238	326	2469
239	327	2467
240	328	2466
241	330	2465
242	331	2464
243	333	2462
244	334	2461
245	335	2459
246	337	2457
247	338	2455
248	339	2455
249	341	2453
250	342	2452
251	344	2451
252	345	2450
253	346	2449
254	348	2447
255	349	2445
256	350	2444
257	352	2443
258	353	2442
259	354	2440
260	356	2439
261	357	2438
262	359	2437
263	360	2436
264	361	2435
265	363	2433
266	364	2433
267	366	2431
268	367	2430
269	368	2428
270	370	2426
271	371	2424
272	372	2424
273	374	2423
274	375	2421
275	376	2420
276	378	2418
277	379	2417
278	381	2415
279	382	2414
280	383	2413
281	385	2411
282	386	2410
283	387	2408
284	389	2407
285	390	2406
286	391	2405
287	393	2403
288	394	2402
289	396	2401
290	397	2399
291	398	2397
292	399	2395
293	401	2394
294	402	2393
295	404	2393
296	405	2391
297	406	2390
298	408	2389
299	409	2388
300	411	2386
301	412	2385
302	413	2383
303	415	2382
304	416	2380
305	417	2378
306	419	2376
307	420	2376
308	421	2374
309	423	2373
310	424	2371
311	425	2369
312	427	2368
313	428	2367
314	430	2365
315	431	2364
316	432	2362
317	434	2361
318	435	2360
319	436	2359
320	438	2357
321	439	2355
322	440	2353
323	442	2352
324	443	2351
325	444	2349
326	446	2348
327	447	2348
328	449	2346
329	450	2344
330	451	2343
331	453	2342
332	454	2340
333	455	2339
334	457	2337
335	458	2336
336	459	2334
337	461	2333
338	462	2332
339	463	2330
340	465	2329
341	466	2327
342	467	2325
343	469	2324
344	470	2323
345	472	2322
346	473	2320
347	474	2318
348	475	2316
349	477	2315
350	478	2314
351	480	2313
352	481	2311
353	482	2310
354	484	2309
355	485	2307
356	486	2306
357	488	2304
358	489	2302
359	490	2301
360	492	2299
361	493	2298
362	495	2298
363	496	2297
364	497	2296
365	499	2294
366	500	2293
367	502	2292
368	503	2290
369	504	2288
370	506	2287
371	507	2285
372	508	2285
373	510	2283
374	511	2281
375	512	2279
376	514	2278
377	515	2276
378	516	2275
379	518	2274
380	519	2272
381	520	2271
382	522	2270
383	523	2269
384	525	2267
385	526	2266
386	527	2265
387	529	2263
388	530	2262
389	531	2260
390	533	2259
391	534	2257
392	535	2256
393	537	2255
394	538	2253
395	539	2251
396	541	2250
397	542	2248
398	543	2247
399	545	2246
400	546	2244
401	547	2242
402	549	2241
403	550	2239
404	551	2238
405	552	2236
406	554	2234
407	555	2233
408	557	2232
409	558	2230
410	559	2229
411	561	2228
412	562	2227
413	564	2226
414	565	2225
415	566	2224
416	568	2222
417	569	2221
418	570	2219
419	572	2218
420	573	2217
421	575	2215
422	576	2214
423	577	2212
424	578	2210
425	580	2209
426	581	2208
427	583	2206
